date,AEP,AMZN,CAT,JPM,XOM
2/3/2012,31.30680792,187.68,95.571386,32.79915202,70.47902395
2/6/2012,31.33053718,183.14,95.43718008,32.67919692,71.16787922
2/7/2012,31.54410055,184.19,95.46234369,32.44785494,71.65754743
2/8/2012,31.46500301,185.48,95.65526469,32.81628846,71.20107707
2/9/2012,31.51302896,184.98,94.64033247,32.43928671,70.83388914
2/10/2012,31.45699868,185.54,93.73444256,32.22508118,69.93260969
2/13/2012,31.78517602,191.59,95.37007713,32.81628846,70.45001086
2/14/2012,31.88923225,191.3,95.99916735,32.49069604,70.65864036
2/15/2012,31.69712845,184.47,94.38869639,32.04514852,70.19965545
2/16/2012,31.94526253,179.93,95.58816174,32.55924182,71.27618369
2/17/2012,31.80118468,182.5,95.57977387,32.96194823,71.45143247
2/21/2012,31.91324523,182.26,96.46050017,32.95338001,72.24422459
2/22/2012,31.88923225,180.58,97.13991761,32.61921937,72.53630589
2/23/2012,30.34439746,178.89,97.46704452,32.97908467,72.61975769
2/24/2012,30.2003196,179.13,97.29928713,32.79915202,72.88680346
2/27/2012,30.60053587,178.53,96.98893596,33.4674733,72.79500648
2/28/2012,30.38441909,183.8,97.09797826,33.59599662,72.71989986
2/29/2012,30.1042677,179.69,95.79785848,33.62170129,72.18580833
3/1/2012,30.2003196,180.04,95.11005317,34.58991032,72.46119927
3/2/2012,30.38441909,179.3,94.35514491,34.81268408,72.04394026
3/5/2012,30.62454885,180.26,92.34205621,34.61561498,72.61141251
3/6/2012,30.56851857,181.09,88.85270246,33.69024706,71.6517168
3/7/2012,30.60053587,183.77,90.82385181,34.23004501,71.62668126
3/8/2012,30.56851857,187.64,92.50142573,34.64988787,70.79216324
3/9/2012,30.58452722,184.32,92.45109851,35.15541294,70.34986869
3/12/2012,30.96073051,183.39,91.37745121,34.73557008,71.39301621
3/13/2012,31.25689055,184.59,95.03456234,37.17751322,72.48623481
3/14/2012,30.65656615,182.26,94.17061178,37.34030943,71.78523968
3/15/2012,30.74461373,184.43,95.16038039,38.29995024,71.84365594
3/16/2012,31.00075214,185.05,95.26942269,38.18856336,72.13573725
3/19/2012,30.74461373,185.52,95.39524074,38.55699689,72.59472215
3/20/2012,30.7686267,192.33,92.90404347,38.88258931,72.26926013
3/21/2012,30.60053587,191.73,91.42777842,38.65981555,71.7768945
3/22/2012,30.65656615,192.4,89.27209594,38.25710913,71.20942225
3/23/2012,30.800644,195.04,90.44639768,38.69408843,71.39301621
3/26/2012,30.80864833,202.87,91.21808168,39.55947881,72.62810288
3/27/2012,30.93671754,205.44,90.63931868,39.3195686,72.28595049
3/28/2012,30.55250992,201.16,87.45192824,39.64516102,71.6517168
3/29/2012,30.6405575,204.61,88.92819329,39.13106773,71.83531076
3/30/2012,30.88068726,202.51,89.34758677,39.3966826,72.37774747
4/2/2012,31.12081702,198.05,89.95990125,39.52520592,72.6614836
4/3/2012,31.04077377,199.66,89.08756281,39.17390884,71.62668126
4/4/2012,30.88068726,193.99,89.12950216,38.30280254,70.91734094
4/5/2012,30.40843206,194.39,88.80237525,38.24242884,70.78381806
4/9/2012,30.26435421,191.87,86.87316524,37.85431217,69.99937113
4/10/2012,29.79209901,186.98,84.23937419,37.0522044,68.57234532
4/11/2012,29.83212064,187.97,85.34657298,37.95780995,69.01463987
4/12/2012,29.91216389,190.69,89.28048381,38.67366958,69.76570608
4/13/2012,29.86413794,188.46,88.81915098,37.26782477,69.22326937
4/16/2012,30.22433258,185.5,89.5321199,37.37132254,70.10785847
4/17/2012,30.40843206,188.39,90.93289412,37.86293699,71.30956441
4/18/2012,30.41643639,191.07,91.60392369,37.33682328,71.55991982
4/19/2012,30.32838881,191.1,90.43800981,37.27644958,71.16769635
4/20/2012,30.68057912,189.98,90.74969073,36.84520884,71.18438671
4/23/2012,30.45645801,188.24,90.05051462,36.95733143,71.50984873
4/24/2012,30.63255317,190.33,91.31408591,37.32819847,72.0272499
4/25/2012,30.80864833,194.42,87.13587682,37.22470069,72.47788963
4/26/2012,30.90470023,195.99,87.93613864,37.77668884,71.82696558
4/27/2012,30.97673916,226.85,88.07934339,37.37994736,71.83531076
4/30/2012,31.08879972,231.9,86.57148164,37.06945403,72.05228544
5/1/2012,31.12081702,230.04,86.01551027,37.76806402,72.63644806
5/2/2012,31.05678242,230.25,86.45354832,37.25919995,71.93545292
5/3/2012,30.85667428,229.45,84.80248182,37.09532847,71.47646801
5/4/2012,30.88068726,223.99,82.92397249,36.0086018,70.57518856
5/7/2012,30.83266131,225.16,81.8709964,36.03447625,70.50008194
5/8/2012,30.88869158,223.9,81.2813298,35.68948366,70.11620365
5/9/2012,30.96972173,222.98,80.86013936,35.05124736,69.52369586
5/10/2012,31.08316393,226.69,80.39682989,35.13749551,69.60714766
5/11/2012,31.15609106,227.68,80.44737274,31.87731551,69.82561529
5/14/2012,31.00213379,222.93,78.84684909,30.86821218,69.00216038
5/15/2012,30.48354085,224.39,78.0718587,31.25632885,68.72487454
5/16/2012,30.46733483,224.06,77.38110638,30.58359329,69.04417338
5/17/2012,30.32958358,218.36,73.96104007,29.26399663,68.82570576
5/18/2012,30.58888004,213.85,74.70233523,28.88450478,68.45599131
5/21/2012,30.65370416,218.11,77.48219209,28.03927293,68.93493957
5/22/2012,30.8400735,215.33,77.06942546,29.33299515,68.85931616
